suggerisco suggerisci suggerisce suggeriamo suggerite suggeriscono 
sono sei è siamo siete sono 
mammo mammi mamma mammiamo mammate mammano 
ancoro ancori ancora ancoriamo ancorate ancorano 
capisco capisci capisce capiamo capite capiscono 
trovo trovi trova troviamo trovate trovano 
prossimo prossimi prossima prossimiamo prossimate prossimano 
volto volti volta voltiamo voltate voltano 
rompo rompi rompe rompiamo rompete rompono 
prendo prendi prende prendiamo prendete prendono 
sono sei è siamo siete sono 
centro centri centra centriamo centrate centrano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
dò dai da diamo date danno 
bunkero bunkeri bunkera bunkeriamo bunkerate bunkerano 
continuo continui continua continuiamo continuate continuano 
piacio piaci piacia piaciamo piaciate piaciano 
arrabbio arrabbi arrabbia arrabbiamo arrabbiate arrabbiano 
faccio fai fa faciamo facete facciono 
como comi come comiamo comete comono 
faccio fai fa faciamo facete facciono 
metto metti mette mettiamo mettete mettono 
brutto brutti brutta bruttiamo bruttate bruttano 
sono sei è siamo siete sono 
occo occhi occa occhiamo occate occano 
storto storti storta stortiamo stortate stortano 
medico medichi medica medichiamo medicate medicano 
detto detti detta dettiamo dettate dettano 
sono sei è siamo siete sono 
onisco onisci onisce oniamo onite oniscono 
divago divaghi divaga divaghiamo divagate divagano 
smetto smetti smette smettiamo smettete smettono 
piacio piaci piacia piaciamo piaciate piaciano 
comincio cominci comincia cominciamo cominciate cominciano 
tindalizzo tindalizzi tindalizza tindalizziamo tindalizzate tindalizzano 
faccio fai fa faciamo facete facciono 
penalizzo penalizzi penalizza penalizziamo penalizzate penalizzano 
devo devi deve dobbiamo dovete debbono 
sopro sopri sopra sopriamo soprate soprano 
dò dai da diamo date danno 
ultimo ultimi ultima ultimiamo ultimate ultimano 
solo soli sola soliamo solate solano 
duro duri dura duriamo durate durano 
volto volti volta voltiamo voltate voltano 
pergo pergi perge pergiamo pergete pergono 
obbligo obblighi obbliga obblighiamo obbligate obbligano 
corno corni corna corniamo cornate cornano 
faccio fai fa faciamo facete facciono 
mostro mostri mostra mostriamo mostrate mostrano 
storto storti storta stortiamo stortate stortano 
sono sei è siamo siete sono 
subisco subisci subisce subiamo subite subiscono 
slaccio slacci slaccia slacciamo slacciate slacciano 
scarpo scarpi scarpa scarpiamo scarpate scarpano 
dò dai da diamo date danno 
faccio fai fa faciamo facete facciono 
dò dai da diamo date danno 
moro mori mora moriamo morate morano 
mammo mammi mamma mammiamo mammate mammano 
sono sei è siamo siete sono 
dò dai da diamo date danno 
pranzo pranzi pranza pranziamo pranzate pranzano 
sono sei è siamo siete sono 
dò dai da diamo date danno 
pezzo pezzi pezza pezziamo pezzate pezzano 
mammo mammi mamma mammiamo mammate mammano 
devo devi deve dobbiamo dovete debbono 
stampello stampelli stampella stampelliamo stampellate stampellano 
veggo vedi vede vediamo vedete vedono 
ritorno ritorni ritorna ritorniamo ritornate ritornano 
immagino immagini immagina immaginiamo immaginate immaginano 
mattino mattini mattina mattiniamo mattinate mattinano 
prendo prendi prende prendiamo prendete prendono 
faccio fai fa faciamo facete facciono 
giro giri gira giriamo girate girano 
intorno intorni intorna intorniamo intornate intornano 
arrivo arrivi arriva arriviamo arrivate arrivano 
bordo bordi borda bordiamo bordate bordano 
campo campi campa campiamo campate campano 
secco secchi secca secchiamo seccate seccano 
torno torni torna torniamo tornate tornano 
indietro indietri indietra indietriamo indietrate indietrano 
faccio fai fa faciamo facete facciono 
bicicletto bicicletti bicicletta biciclettiamo biciclettate biciclettano 
sono sei è siamo siete sono 
ferro ferri ferra ferriamo ferrate ferrano 
vecchio vecchi vecchia vecchiamo vecchiate vecchiano 
sello selli sella selliamo sellate sellano 
rattoppo rattoppi rattoppa rattoppiamo rattoppate rattoppano 
devo devi deve dobbiamo dovete debbono 
tipifico tipifichi tipifica tipifichiamo tipificate tipificano 
chiamo chiami chiama chiamiamo chiamate chiamano 
dico dici dice diciamo dicete dicono 
sono sei è siamo siete sono 
piaccio piaci piace piaciamo piacete piaciono 
sono sei è siamo siete sono 
vado vai va andiamo andate vanno 
bicicletto bicicletti bicicletta biciclettiamo biciclettate biciclettano 
sto stai sta stiamo state stanno 
strado stradi strada stradiamo stradate stradano 
rubo rubi ruba rubiamo rubate rubano 
stello stelli stella stelliamo stellate stellano 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
paio pari pare paiamo parete paiono 
passo passi passa passiamo passate passano 
sto stai sta stiamo state stanno 
como comi come comiamo comete comono 
aspetto aspetti aspetta aspettiamo aspettate aspettano 
scorro scorri scorre scorriamo scorrete scorrono 
lento lenti lenta lentiamo lentate lentano 
veggo vedi vede vediamo vedete vedono 
ricomincio ricominci ricomincia ricominciamo ricominciate ricominciano 
mattino mattini mattina mattiniamo mattinate mattinano 
attacco attacchi attacca attacchiamo attaccate attaccano 
paperare papillare papineggiare pappagallare pappagalleggiare pappare 
parlo parli parla parliamo parlate parlano 
spesso spessi spessa spessiamo spessate spessano 
noio noi noia noiamo noiate noiano 
vecchio vecchi vecchia vecchiamo vecchiate vecchiano 
addestro addestri addestra addestriamo addestrate addestrano 
sbottono sbottoni sbottona sbottoniamo sbottonate sbottonano 
raccatto raccatti raccatta raccattiamo raccattate raccattano 
strado stradi strada stradiamo stradate stradano 
sputo sputi sputa sputiamo sputate sputano 
spruzzo spruzzi spruzza spruzziamo spruzzate spruzzano 
salgo sali sale saliamo salite salgono 
bianco bianchi bianca bianchiamo biancate biancano 
racconto racconti racconta raccontiamo raccontate raccontano 
posso puoi può possiamo potete possono 
diposito dipositi diposita dipositiamo dipositate dipositano 
sono sei è siamo siete sono 
figlio figli figlia figliamo figliate figliano 
sono sei è siamo siete sono 
sollevo sollevi solleva solleviamo sollevate sollevano 
sono sei è siamo siete sono 
giuro giuri giura giuriamo giurate giurano 
vivo vivi vive viviamo vivete vivono 
razzo razzi razza razziamo razzate razzano 
devo devi deve dobbiamo dovete debbono 
esprobro esprobri esprobra esprobriamo esprobrate esprobrano 
razzo razzi razza razziamo razzate razzano 
faccio fai fa faciamo facete facciono 
testo testi testa testiamo testate testano 
recingo recingi recinge recingiamo recingete recingono 
provo provi prova proviamo provate provano 
scapo scapi scapa scapiamo scapate scapano 
dò dai da diamo date danno 
scampo scampi scampa scampiamo scampate scampano 
secondo secondi seconda secondiamo secondate secondano 
lancio lanci lancia lanciamo lanciate lanciano 
penso pensi pensa pensiamo pensate pensano 
piscio pisci piscia pisciamo pisciate pisciano 
finisco finisci finisce finiamo finite finiscono 
como comi come comiamo comete comono 
sono sei è siamo siete sono 
spolpo spolpi spolpa spolpiamo spolpate spolpano 
fino fini fina finiamo finate finano 
sono sei è siamo siete sono 
sputo sputi sputa sputiamo sputate sputano 
rimango rimani rimane rimaniamo rimanete rimangono 
figlio figli figlia figliamo figliate figliano 
cattivo cattivi cattiva cattiviamo cattivate cattivano 
noio noi noia noiamo noiate noiano 
so sai sa sappiamo sapete sanno 
como comi come comiamo comete comono 
chiamo chiami chiama chiamiamo chiamate chiamano 
sono sei è siamo siete sono 
autolimitare automaticizzare automatizzare automigliorare automizzare autonomizzare 
vanvereggio vanvereggi vanvereggia vanvereggiamo vanvereggiate vanvereggiano 
sono sei è siamo siete sono 
esco esci esce usciamo uscite escono 
faccio fai fa faciamo facete facciono 
metto metti mette mettiamo mettete mettono 
brontolo brontoli brontola brontoliamo brontolate brontolano 
sono sei è siamo siete sono 
vado vai va andiamo andate vanno 
sono sei è siamo siete sono 
bicicletto bicicletti bicicletta biciclettiamo biciclettate biciclettano 
spreco sprechi spreca sprechiamo sprecate sprecano 
autolimitare automaticizzare automatizzare automigliorare automizzare autonomizzare 
sono sei è siamo siete sono 
prendo prendi prende prendiamo prendete prendono 
arrivo arrivi arriva arriviamo arrivate arrivano 
getto getti getta gettiamo gettate gettano 
recingo recingi recinge recingiamo recingete recingono 
veggo vedi vede vediamo vedete vedono 
como comi come comiamo comete comono 
spolpo spolpi spolpa spolpiamo spolpate spolpano 
approvo approvi approva approviamo approvate approvano 
uccido uccidi uccide uccidiamo uccidete uccidono 
prendo prendi prende prendiamo prendete prendono 
piagnucolo piagnucoli piagnucola piagnucoliamo piagnucolate piagnucolano 
sono sei è siamo siete sono 
dò dai da diamo date danno 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
sono sei è siamo siete sono 
entro entri entra entriamo entrate entrano 
scelgo scegli sceglie scegliamo scegliete scelgono 
sono sei è siamo siete sono 
parto parti parte partiamo partite partono 
sono sei è siamo siete sono 
anagrammatizzo anagrammatizzi anagrammatizza anagrammatizziamo anagrammatizzate anagrammatizzano 
pedalo pedali pedala pedaliamo pedalate pedalano 
grano grani grana graniamo granate granano 
pedalo pedali pedala pedaliamo pedalate pedalano 
pedalo pedali pedala pedaliamo pedalate pedalano 
sono sei è siamo siete sono 
salgo sali sale saliamo salite salgono 
arrovento arroventi arroventa arroventiamo arroventate arroventano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
arrivo arrivi arriva arriviamo arrivate arrivano 
testo testi testa testiamo testate testano 
bollo bolli bolle bolliamo bollite bollono 
sto stai sta stiamo state stanno 
dò dai da diamo date danno 
seggo siedi siede sediamo sedete seggono 
dondolo dondoli dondola dondoliamo dondolate dondolano 
storco storci storce storciamo storcete storcono 
cado cadi cade cadiamo cadete cadono 
pezzo pezzi pezza pezziamo pezzate pezzano 
tetto tetti tetta tettiamo tettate tettano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
riparo ripari ripara ripariamo riparate riparano 
latto latti latta lattiamo lattate lattano 
sto stai sta stiamo state stanno 
sfondo sfondi sfonda sfondiamo sfondate sfondano 
tavolo tavoli tavola tavoliamo tavolate tavolano 
palo pali pala paliamo palate palano 
edero ederi edera ederiamo ederate ederano 
sono sei è siamo siete sono 
appendo appendi appende appendiamo appendete appendono 
corno corni corna corniamo cornate cornano 
sono sei è siamo siete sono 
abbaio abbai abbaia abbaiamo abbaiate abbaiano 
cateno cateni catena cateniamo catenate catenano 
fondo fondi fonda fondiamo fondate fondano 
recinto recinti recinta recintiamo recintate recintano 
sono sei è siamo siete sono 
dento denti denta dentiamo dentate dentano 
affioro affiori affiora affioriamo affiorate affiorano 
rosso rossi rossa rossiamo rossate rossano 
cresco cresci cresce cresciamo crescete crescono 
olisco olisci olisce oliamo olite oliscono 
sbilenco sbilenchi sbilenca sbilenchiamo sbilencate sbilencano 
sono sei è siamo siete sono 
pastoro pastori pastora pastoriamo pastorate pastorano 
metto metti mette mettiamo mettete mettono 
sembro sembri sembra sembriamo sembrate sembrano 
pendo pendi pende pendiamo pendete pendono 
addosso addossi addossa addossiamo addossate addossano 
sono sei è siamo siete sono 
pelo peli pela peliamo pelate pelano 
ciuffo ciuffi ciuffa ciuffiamo ciuffate ciuffano 
bianco bianchi bianca bianchiamo biancate biancano 
cresco cresci cresce cresciamo crescete crescono 
petto petti petta pettiamo pettate pettano 
collo colli colla colliamo collate collano 
cointeresso cointeressi cointeressa cointeressiamo cointeressate cointeressano 
chiudo chiudi chiude chiudiamo chiudete chiudono 
addosso addossi addossa addossiamo addossate addossano 
paio pari pare paiamo parete paiono 
plastico plastichi plastica plastichiamo plasticate plasticano 
visto visti vista vistiamo vistate vistano 
arreto arreti arreta arretiamo arretate arretano 
sono sei è siamo siete sono 
muovo muovi muove m(u)oviamo m(u)ovete muovono 
strado stradi strada stradiamo stradate stradano 
massimo massimi massima massimiamo massimate massimano 
fieno fieni fiena fieniamo fienate fienano 
puzzo puzzi puzza puzziamo puzzate puzzano 
piscio pisci piscia pisciamo pisciate pisciano 
dò dai da diamo date danno 
fastidio fastidi fastidia fastidiamo fastidiate fastidiano 
poso posi posa posiamo posate posano 
testo testi testa testiamo testate testano 
intorno intorni intorna intorniamo intornate intornano 
occo occhi occa occhiamo occate occano 
como comi come comiamo comete comono 
bocco bocchi bocca bocchiamo boccate boccano 
sbuffo sbuffi sbuffa sbuffiamo sbuffate sbuffano 
sono sei è siamo siete sono 
faccio fai fa faciamo facete facciono 
preoccupo preoccupi preoccupa preoccupiamo preoccupate preoccupano 
como comi come comiamo comete comono 
dò dai da diamo date danno 
bendo bendi benda bendiamo bendate bendano 
acquo acqui acqua acquiamo acquate acquano 
racconto racconti racconta raccontiamo raccontate raccontano 
tengo tieni tiene teniamo tenete tengono 
faccio fai fa faciamo facete facciono 
endico endichi endica endichiamo endicate endicano 
colpo colpi colpa colpiamo colpate colpano 
testo testi testa testiamo testate testano 
butto butti butta buttiamo buttate buttano 
anagrammatizzo anagrammatizzi anagrammatizza anagrammatizziamo anagrammatizzate anagrammatizzano 
sono sei è siamo siete sono 
posso puoi può possiamo potete possono 
esprobro esprobri esprobra esprobriamo esprobrate esprobrano 
vecchio vecchi vecchia vecchiamo vecchiate vecchiano 
sollevo sollevi solleva solleviamo sollevate sollevano 
fò fai fa facciamo fate fanno 
sono sei è siamo siete sono 
lontano lontani lontana lontaniamo lontanate lontanano 
dò dai da diamo date danno 
sono sei è siamo siete sono 
dò dai da diamo date danno 
dò dai da diamo date danno 
— — — — — — 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
sento senti sente sentiamo sentite sentono 
moro mori mora moriamo morate morano 
sono sei è siamo siete sono 
giro giri gira giriamo girate girano 
sguardo sguardi sguarda sguardiamo sguardate sguardano 
tiro tiri tira tiriamo tirate tirano 
sono sei è siamo siete sono 
metto metti mette mettiamo mettete mettono 
ridanzo ridanzi ridanza ridanziamo ridanzate ridanzano 
sono sei è siamo siete sono 
vengo vieni viene veniamo venite vengono 
attacco attacchi attacca attacchiamo attaccate attaccano 
strozzo strozzi strozza strozziamo strozzate strozzano 
sono sei è siamo siete sono 
riprendo riprendi riprende riprendiamo riprendete riprendono 
racconto racconti racconta raccontiamo raccontate raccontano 
indico indichi indica indichiamo indicate indicano 
sono sei è siamo siete sono 
arrossisco arrossisci arrossisce arrossiamo arrossite arrossiscono 
abbasso abbassi abbassa abbassiamo abbassate abbassano 
testo testi testa testiamo testate testano 
sono sei è siamo siete sono 
so sai sa sappiamo sapete sanno 
detto detti detta dettiamo dettate dettano 
giorno giorni giorna giorniamo giornate giornano 
stato stati stata statiamo statate statano 
lancio lanci lancia lanciamo lanciate lanciano 
sasso sassi sassa sassiamo sassate sassano 
pergo pergi perge pergiamo pergete pergono 
sputo sputi sputa sputiamo sputate sputano 
vanvereggio vanvereggi vanvereggia vanvereggiamo vanvereggiate vanvereggiano 
sono sei è siamo siete sono 
entro entri entra entriamo entrate entrano 
sono sei è siamo siete sono 
faccio fai fa faciamo facete facciono 
velgo velli velle velliamo vellete velgono 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
piaccio piaci piace piaciamo piacete piaciono 
appeno appeni appena appeniamo appenate appenano 
posso puoi può possiamo potete possono 
cerco cerchi cerca cerchiamo cercate cercano 
morigerare morire mormoracchiare mormorare mormoreggiare mormoricchiare 
faccio fai fa faciamo facete facciono 
vanvereggio vanvereggi vanvereggia vanvereggiamo vanvereggiate vanvereggiano 
vado vai va andiamo andate vanno 
prendo prendi prende prendiamo prendete prendono 
sono sei è siamo siete sono 
posso puoi può possiamo potete possono 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
meno meni mena meniamo menate menano 
veggo vedi vede vediamo vedete vedono 
vito viti vita vitiamo vitate vitano 
escludo escludi esclude escludiamo escludete escludono 
mammo mammi mamma mammiamo mammate mammano 
volto volti volta voltiamo voltate voltano 
sono sei è siamo siete sono 
donneggio donneggi donneggia donneggiamo donneggiate donneggiano 
dò dai da diamo date danno 
veggo vedi vede vediamo vedete vedono 
sono sei è siamo siete sono 
faccio fai fa faciamo facete facciono 
piaccio piaci piace piaciamo piacete piaciono 
piaccio piaci piace piaciamo piacete piaciono 
dò dai da diamo date danno 
rotolo rotoli rotola rotoliamo rotolate rotolano 
pancio panci pancia panciamo panciate panciano 
storio stori storia storiamo storiate storiano 
conto conti conta contiamo contate contano 
vado vai va andiamo andate vanno 
racciabatto racciabatti racciabatta racciabattiamo racciabattate racciabattano 
giro giri gira giriamo girate girano 
dò dai da diamo date danno 
dò dai da diamo date danno 
— — — — — — 
sono sei è siamo siete sono 
gratto gratti gratta grattiamo grattate grattano 
petto petti petta pettiamo pettate pettano 
chiamo chiami chiama chiamiamo chiamate chiamano 
sono sei è siamo siete sono 
moro mori more moriamo morete morono 
sono sei è siamo siete sono 
pianto pianti pianta piantiamo piantate piantano 
golo goli gola goliamo golate golano 
dò dai da diamo date danno 
punto punti punta puntiamo puntate puntano 
contro contri contra contriamo contrate contrano 
scommetto scommetti scommette scommettiamo scommettete scommettono 
sono sei è siamo siete sono 
rispondo rispondi risponde rispondiamo rispondete rispondono 
devio devi devia deviamo deviate deviano 
diposito dipositi diposita dipositiamo dipositate dipositano 
devio devi devia deviamo deviate deviano 
inerbo inerbi inerba inerbiamo inerbate inerbano 
diposito dipositi diposita dipositiamo dipositate dipositano 
sono sei è siamo siete sono 
stesso stessi stesse stessiamo stessete stessono 
capisco capisci capisce capiamo capite capiscono 
faccio fai fa faciamo facete facciono 
predico predichi predica predichiamo predicate predicano 
faccio fai fa faciamo facete facciono 
pipisco pipisci pipisce pipiamo pipite pipiscono 
insisto insisti insiste insistiamo insistete insistono 
provo provi prova proviamo provate provano 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
testo testi testa testiamo testate testano 
impedisco impedisci impedisce impediamo impedite impediscono 
educo educhi educa educhiamo educate educano 
indico indichi indica indichiamo indicate indicano 
sono sei è siamo siete sono 
bevo bevi beve beviamo bevete bevono 
fino fini fina finiamo finate finano 
sconfessare sconfettare sconficcare sconfidare sconfiggere sconfigurare 
fresco freschi fresca freschiamo frescate frescano 
prendo prendi prende prendiamo prendete prendono 
infiacchisco infiacchisci infiacchisce infiacchiamo infiacchite infiacchiscono 
testo testi testa testiamo testate testano 
canno canni canna canniamo cannate cannano 
comincio cominci comincia cominciamo cominciate cominciano 
diposito dipositi diposita dipositiamo dipositate dipositano 
sono sei è siamo siete sono 
so sai sa sappiamo sapete sanno 
certo certi certa certiamo certate certano 
vecchio vecchi vecchia vecchiamo vecchiate vecchiano 
scemo scemi scema scemiamo scemate scemano 
dò dai da diamo date danno 
— — — — — — 
fisso fissi fissa fissiamo fissate fissano 
pago paghi paga paghiamo pagate pagano 
borbotto borbotti borbotta borbottiamo borbottate borbottano 
sono sei è siamo siete sono 
seggo siedi siede sediamo sedete seggono 
como comi come comiamo comete comono 
parto parti parte partiamo partite partono 
strado stradi strada stradiamo stradate stradano 
sono sei è siamo siete sono 
accento accenti accenta accentiamo accentate accentano 
sono sei è siamo siete sono 
appollaio appollai appollaia appollaiamo appollaiate appollaiano 
bordo bordi borda bordiamo bordate bordano 
immergo immergi immerge immergiamo immergete immergono 
minuto minuti minuta minutiamo minutate minutano 
sono sei è siamo siete sono 
torno torni torna torniamo tornate tornano 
eccito ecciti eccita eccitiamo eccitate eccitano 
sono sei è siamo siete sono 
poso posi posa posiamo posate posano 
sollevo sollevi solleva solleviamo sollevate sollevano 
noio noi noia noiamo noiate noiano 
chilometro chilometri chilometra chilometriamo chilometrate chilometrano 
grano grani grana graniamo granate granano 
copro copri copre copriamo coprite coprono 
pelliccio pellicci pelliccia pellicciamo pellicciate pellicciano 
albero alberi albera alberiamo alberate alberano 
punto punti punta puntiamo puntate puntano 
